Structure,ID,Potency
[S](=O)(C)C,Compound0001,6.306
[S](CCS)(=O)(=O)O,Compound0002,5.685
SCCN,Compound0003,6.449
SC(CS)CO,Compound0004,5
C(=O)(NO)C,Compound0005,6.755
C(=O)(O)C,Compound0006,7.22
[S](=O)(=O)(OCCCCO[S](=O)(=O)C)C,Compound0007,4.668
C(=O)(NO)N,Compound0008,7.12
C(=O)(N)N,Compound0009,6.968
C(C(N)CS)(=O)O,Compound0010,6.36
[S](=O)(=O)(O)CCCNC(=O)C,Compound0011,6.357
C(C(C(=O)O)S)(C(=O)O)S,Compound0012,5.186
C(C(C(=O)O)S)(C(=O)O)S.[Tc],Compound0013,5.186
C(O)(CO)CO,Compound0014,7.04
C(C(=O)O)(C(S)(C)C)N,Compound0015,5.507
C(=O)(O)CN,Compound0016,6.52
C1(OCC1)=O,Compound0017,6.71
C(N)(CO)(CO)CO,Compound0018,7.303
C(=O)(C(CCC)CCC)O,Compound0019,4.14
C(=O)(CCC(=O)CN)O,Compound0020,6.056
C([O-])(=O)C(O)C.[K+],Compound0021,7.05
[S](CC(=O)N)(C(C1=CC=CC=C1)C2=CC=CC=C2)=O,Compound0022,3.377
N=O,Compound0023,7.485
C(=O)(O)CCCO,Compound0024,6.716
C(C(=O)O)(NC(=O)C)CS,Compound0025,5.611
C(SSC(=S)N(CC)CC)(=S)N(CC)CC,Compound0026,1.14
C1(=CC=C(C=C1)OC)O,Compound0027,4.838
OCCCCCCCCCCCCCCCCCCCCCC,Compound0028,1.625
C(C(F)(F)F)(C(F)(F)F)(F)F,Compound0029,2.894
C(NCC(=O)O)(=O)C(S)C,Compound0030,5.362
C([O-])(C[N+](C)(C)C)=O,Compound0031,6.807
C(=N)(N)N,Compound0032,4.49
C([P](=O)(O)O)([P](=O)(O)O)O.[Tc],Compound0033,6.32
C(C(C(F)(F)F)OCF)(F)(F)F,Compound0034,3.228
N1CCNCC1,Compound0035,7.06
C(C(C(O)CO)O)(C(O)CO)O,Compound0036,6.07
C1(C(CON1)N)=O,Compound0037,6.053
N(CCNCCN)CCN,Compound0038,5.708
C(=O)(CCC(=O)CN)OC,Compound0039,5.808
N1C(C(CC)(C)CC1=O)=O,Compound0040,5.251
C(=O)(O)CCCCCCCC(=O)O,Compound0041,4.11
[S](OC(CC(C)C)CCC(CC)CCCC)(=O)(=O)O,Compound0042,1.726
[P](=O)(SCCNCCCN)(O)O,Compound0043,5.848
[P](C(=O)O)(=O)(O)O,Compound0044,6.634
C1(=N[N]([C](S1)=NC(=O)C)C)[S](=O)(=O)N,Compound0045,5.073
C1(C(C(C)CNC1=O)=O)(CC)CC,Compound0046,4.307
C1(C(C(O)COC1O)O)O,Compound0047,6.52
[P](N1CC1)(N2CC2)(N3CC3)=S,Compound0048,6
N1(C(C(CS)C)=O)C(C(=O)O)CCC1,Compound0049,4.387
C(=O)(O)CCCCCN,Compound0050,6.59
C(=O)(CC(CC(C)C)CN)O,Compound0051,5.161
C(C(OC(F)F)F)(F)(F)F,Compound0052,4.378
C(CC(=O)O)(CC(=O)O)(C(=O)O)O,Compound0053,6.49
N(C(CO)CC)CCNC(CO)CC,Compound0054,5.593
C(C(C(=O)O)O)(C(=O)O)O,Compound0055,6.16
C1(=NC=CN=C1)C(=O)N,Compound0056,5.09
C(CC([O-])=O)(CC([O-])=O)(C([O-])=O)O.[Na+].[Na+].[Na+],Compound0057,6.49
C([P](=O)(O)O)([P](=O)(O)O)(O)C,Compound0058,6.52
C(NCC(=O)O)(=O)CNC(=O)CNC(=O)CS.[Tc],Compound0059,4.695
[N+](CCOC(=O)C)(C)(C)C,Compound0060,6.893
O([SiH2]C(C)(C)C)[Si](C)(C)O[SiH2]C(C)(C)C,Compound0061,2.689
C(C(NCCNC(C(=O)OCC)CS)CS)(=O)OCC.[Tc]=O,Compound0062,3.466
C([P](=O)(O)O)([P](=O)(O)O)(O)C.[Tc],Compound0063,6.52
[P](=O)(SCC[N+](C)(C)C)(OCC)OCC,Compound0064,5.741
[S](C1=CC=C(NC[S](=O)O)C=C1)(C2=CC=C(NC[S](=O)O)C=C2)(=O)=O,Compound0065,3.766
[N+]1(=C([S-])C=CC=C1)[O-].[N+]2(=C([S-])C=CC=C2)[O-].[Zn++],Compound0066,4.027
C(=O)(CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O)O,Compound0067,5.429
[P](OCC(Cl)(Cl)Cl)(=O)(O)O,Compound0068,5.307
[S](C1=CC=C(C=C1)CN)(=O)(=O)N,Compound0069,6.32
C(C(C(C(O)CO)O)O)(C([O-])=O)O.[Na+],Compound0070,6.21
N1(C(=O)CCC1)C(C(=O)N)CC,Compound0071,5.418
C(=O)(N)OCC[N+](C)(C)C,Compound0072,6.987
[S](NC1=CC=C(C(CNC(C)C)O)C=C1)(=O)(=O)C,Compound0073,4.543
C([O-])(=O)CN(CC(=O)O)CCN(CC([O-])=O)CC(=O)O.[Ca++],Compound0074,5.429
[S](C1=CC=C(C=C1)N)(=O)(=O)N,Compound0075,4.64
C12(OC(SC1)C)CN3CCC2CC3,Compound0076,4.415
C34(C(C2C(C1(C(CC(CC1)O)CC2O)C)CC3)CCC4C(CCC(=O)O)C)C,Compound0077,1.71
C34(C(C2C(C1(C(CC(CC1)O)CC2O)C)CC3)CCC4C(CCC(=O)O)C)C,Compound0078,1.71
[S](CC1=NOC2=CC=CC=C12)(=O)(=O)N,Compound0079,3.933
C(C(Cl)Cl)(F)(F)OC,Compound0080,4.706
C(=O)(C(CCC(=O)N)N)O,Compound0081,5.45
